Freq [GHz],Measured_12,Simulated_12,Measured_13,Simulated_13,Measured_14,Simulated_14
1,3.06E-05,2.03E-04,0.2961,0.30598,6.42E-04,7.42E-04
1.18987,1.15E-04,3.07E-04,0.28574,0.28824,2.74E-04,3.74E-04
1.37975,2.31E-04,3.21E-04,0.27061,0.24782,1.25E-04,2.25E-04
1.56962,3.13E-04,5.95E-04,0.26374,0.19403,6.50E-05,1.65E-04
1.75949,1.53E-04,6.64E-04,0.24311,0.13932,7.70E-05,2.70E-05
1.94937,1.57E-04,0.00213,0.22306,0.09314,1.21E-04,9.10E-05
2.13924,0.0011,0.01105,0.20882,0.06057,5.87E-04,0.00152
2.32911,0.00945,0.031,0.18248,0.04368,0.01019,0.01348
2.51899,0.02934,0.0442,0.1594,0.04256,0.03446,0.03932
2.70886,0.04055,0.0491,0.13932,0.05763,0.0502,0.05201
2.89873,0.04554,0.05493,0.09314,0.08619,0.0553,0.0563
3.08861,0.0533,0.06561,0.06057,0.11595,0.06075,0.06342
3.27848,0.06628,0.08166,0.04368,0.13116,0.07088,0.07583
3.46835,0.08407,0.10156,0.04256,0.12384,0.08596,0.09266
3.65823,0.10476,0.1218,0.05763,0.092,0.10423,0.11159
3.8481,0.12368,0.13659,0.08619,0.04198,0.1222,0.12787
4.03797,0.13127,0.13859,0.11595,0.01472,0.13421,0.13216
4.22785,0.11719,0.12253,0.13116,0.01458,0.13314,0.11469
4.41772,0.0854,0.093,0.12384,0.00879,0.11447,0.08051
4.60759,0.05345,0.06252,0.092,0.00829,0.08359,0.04776
4.79747,0.03251,0.04024,0.04198,0.02158,0.05323,0.02715
4.98734,0.02209,0.02716,0.01472,0.04304,0.03206,0.0178
5.17722,0.0194,0.02041,0.01458,0.0586,0.0205,0.01771
5.36709,0.02664,0.05598,0.00879,0.05401,0.01578,0.02982
5.55696,0.05236,0.02204,0.00829,0.02942,0.01686,0.05472
5.74684,0.04031,0.0029,0.02158,0.0054,0.02522,0.0367
5.93671,0.00546,5.66E-04,0.04304,4.10E-04,0.04225,0.00527
6.12658,0.00175,2.63E-04,0.0586,0.00196,0.05264,0.00256
6.31646,0.00153,3.14E-04,0.05401,0.00551,0.0169,0.00314
6.50633,0.00142,5.24E-04,0.02942,0.04175,0.00192,0.00352
6.6962,0.00116,8.71E-04,0.0054,0.01499,6.91E-04,0.00313
6.88608,0.00108,0.00155,4.10E-04,0.00679,9.21E-04,0.00235
7.07595,0.00202,0.00328,0.00196,0.01704,0.00129,0.00242
7.26582,0.00699,0.01022,0.00551,0.04136,0.00145,0.0059
7.4557,0.03648,0.05349,0.04175,0.06199,0.00142,0.0278
7.64557,0.10425,0.11955,0.01499,0.04775,0.00182,0.06821
7.83544,0.03533,0.03826,0.00679,0.01004,0.00436,0.01685
8.02532,0.00432,0.0037,0.01704,0.00301,0.01472,0.00281
8.21519,6.75E-04,8.28E-04,0.04136,0.0327,0.06743,0.00138
8.40506,7.50E-04,0.00133,0.06199,0.06379,0.08096,7.95E-04
8.59494,0.00106,0.00105,0.04775,0.06084,0.06186,4.24E-04
8.78481,0.00161,8.55E-04,0.01004,0.02473,0.00721,2.86E-04
8.97468,2.17E-03,0.00129,3.01E-03,4.50E-04,8.87E-04,1.55E-04
9.16456,1.72E-03,0.00197,0.0327,0.01504,5.86E-04,8.30E-05
9.35443,9.04E-04,0.00155,0.06379,0.03128,3.79E-04,3.36E-04
9.5443,6.35E-04,4.96E-04,0.06084,0.06411,9.91E-04,4.12E-04
9.73418,4.64E-04,8.10E-05,0.02473,0.08116,0.00159,6.10E-05
9.92405,3.24E-04,8.60E-05,4.50E-04,0.07578,0.00159,7.03E-04
10.11392,2.44E-04,6.23E-04,1.50E-02,0.02211,8.58E-04,0.0013
10.3038,2.04E-04,0.00157,0.06128,2.81E-04,1.22E-04,5.16E-04
10.49367,5.18E-04,0.00149,0.10809,0.02416,6.66E-05,2.15E-04
10.68354,0.00137,7.40E-04,0.1158,0.05167,4.86E-04,4.49E-04
10.87342,0.00252,6.01E-04,0.07578,0.04447,8.88E-04,9.95E-04
11.06329,0.00298,0.00104,0.02211,0.01238,0.00137,0.00152
11.25316,0.00229,0.0022,2.81E-04,6.00E-05,0.00137,0.00166
11.44304,0.0012,0.00342,0.02416,0.00417,5.31E-04,4.03E-04
11.63291,0.00843,1.94E-03,0.05167,0.01022,8.75E-05,0.00418
11.82278,0.01067,9.97E-04,0.04447,0.01378,6.06E-04,0.01135
12.01266,0.01575,0.01272,0.01238,0.02966,0.0023,0.00852
12.20253,0.03172,0.01378,6.00E-05,0.01975,0.00332,0.00964
12.39241,0.05077,0.00837,0.00417,5.90E-05,0.00148,0.00956
12.58228,0.05635,0.01159,0.01022,0.00763,8.58E-04,0.02338
12.77215,0.05914,1.85E-02,0.01378,0.00414,0.01208,0.03315
12.96203,0.01335,0.01283,0.02966,7.82E-04,0.02108,0.00234
13.1519,0.00126,0.01325,0.01975,0.01532,0.00963,0.0013
13.34177,0.00861,0.0034,5.90E-05,0.00104,0.00601,0.00303
13.53165,0.00899,6.71E-04,0.00763,0.01773,0.00583,0.00201
13.72152,0.00389,0.0014,0.00414,0.01968,0.00449,4.33E-04
13.91139,0.00313,0.00113,7.82E-04,0.01716,0.00662,1.64E-04
14.10127,0.00471,0.00193,0.01532,0.0013,0.00132,0.00184
14.29114,0.00501,0.00558,0.04208,0.01136,5.35E-04,0.00475
14.48101,0.00495,0.00655,0.07731,3.58E-04,5.63E-04,0.0022
14.67089,0.00139,6.08E-04,0.09678,0.00585,0.00549,2.10E-05
14.86076,4.41E-04,0.00183,0.07161,0.01652,0.00972,0.00113
15.05063,0.00265,0.00225,0.03531,0.01321,0.00892,7.76E-04
15.24051,0.0068,5.97E-04,0.01136,0.00989,0.00723,9.30E-05
15.43038,0.00996,4.34E-04,3.58E-04,0.00866,0.00804,1.97E-04
15.62025,0.01153,0.00139,0.00585,0.00633,0.00785,0.00403
15.81013,0.0103,0.00295,0.01652,0.00563,0.00664,0.0089
16,0.01116,0.00379,0.01321,0.00426,0.00493,0.01321
